datetime,litecoin_price_usd
2020-03-30 00:00:00+00:00,39.13828904
2020-03-31 00:00:00+00:00,39.29910172
2020-04-01 00:00:00+00:00,39.38081279
2020-04-02 00:00:00+00:00,39.87416665
2020-04-03 00:00:00+00:00,40.35913504
2020-04-04 00:00:00+00:00,40.67555711
2020-04-05 00:00:00+00:00,40.67013927
2020-04-06 00:00:00+00:00,44.39112198
2020-04-07 00:00:00+00:00,44.6679293
2020-04-08 00:00:00+00:00,46.31985866
2020-04-09 00:00:00+00:00,46.4003396927
2020-04-10 00:00:00+00:00,42.26981235
2020-04-11 00:00:00+00:00,42.31909769
2020-04-12 00:00:00+00:00,42.4502857
2020-04-13 00:00:00+00:00,41.20434234
2020-04-14 00:00:00+00:00,41.0800941391
2020-04-15 00:00:00+00:00,39.58906929
2020-04-16 00:00:00+00:00,42.6750506128
2020-04-17 00:00:00+00:00,42.74503552
2020-04-18 00:00:00+00:00,44.36289744
2020-04-19 00:00:00+00:00,42.63475094
2020-04-20 00:00:00+00:00,40.82838424
2020-04-21 00:00:00+00:00,41.04014175
2020-04-22 00:00:00+00:00,41.8874131
2020-04-23 00:00:00+00:00,42.93721546
2020-04-24 00:00:00+00:00,44.8152051325
2020-04-25 00:00:00+00:00,44.7149101
2020-04-26 00:00:00+00:00,44.68908811
2020-04-27 00:00:00+00:00,44.71006432
2020-04-28 00:00:00+00:00,46.02870344
2020-04-29 00:00:00+00:00,49.18130189
2020-04-30 00:00:00+00:00,46.71401966
2020-05-01 00:00:00+00:00,47.79170327
2020-05-02 00:00:00+00:00,49.45804612
2020-05-03 00:00:00+00:00,48.26715747
2020-05-04 00:00:00+00:00,47.47349286
2020-05-05 00:00:00+00:00,46.78725938
2020-05-06 00:00:00+00:00,45.94286637
2020-05-07 00:00:00+00:00,47.33011499
2020-05-08 00:00:00+00:00,47.88221848
2020-05-09 00:00:00+00:00,47.2605951263
2020-05-10 00:00:00+00:00,42.36762756
2020-05-11 00:00:00+00:00,41.69996396
2020-05-12 00:00:00+00:00,42.11187972
2020-05-13 00:00:00+00:00,43.13455948
2020-05-14 00:00:00+00:00,43.94533535
2020-05-15 00:00:00+00:00,42.83398136
2020-05-16 00:00:00+00:00,43.21289662
2020-05-17 00:00:00+00:00,43.64083543
2020-05-18 00:00:00+00:00,45.20107397
2020-05-19 00:00:00+00:00,45.3836115
2020-05-20 00:00:00+00:00,44.17212611
2020-05-21 00:00:00+00:00,42.74270168
2020-05-22 00:00:00+00:00,44.20758096
2020-05-23 00:00:00+00:00,44.0331176
2020-05-24 00:00:00+00:00,42.44889275
2020-05-25 00:00:00+00:00,42.94612981
2020-05-26 00:00:00+00:00,42.43205739
2020-05-27 00:00:00+00:00,43.86143258
2020-05-28 00:00:00+00:00,44.75869919
2020-05-29 00:00:00+00:00,44.65246514
2020-05-30 00:00:00+00:00,47.53863087
2020-05-31 00:00:00+00:00,45.5742285993
2020-06-01 00:00:00+00:00,48.12523141
2020-06-02 00:00:00+00:00,45.92351688
2020-06-03 00:00:00+00:00,47.17289444
2020-06-04 00:00:00+00:00,47.637595
2020-06-05 00:00:00+00:00,47.05314611
2020-06-06 00:00:00+00:00,46.73195764
2020-06-07 00:00:00+00:00,46.66800204
2020-06-08 00:00:00+00:00,46.471441879
2020-06-09 00:00:00+00:00,46.06941413
2020-06-10 00:00:00+00:00,46.67997596
2020-06-11 00:00:00+00:00,43.5007242977
2020-06-12 00:00:00+00:00,44.82805407
2020-06-13 00:00:00+00:00,45.0945597
2020-06-14 00:00:00+00:00,44.08452628
2020-06-15 00:00:00+00:00,43.91429476
2020-06-16 00:00:00+00:00,43.87725723
2020-06-17 00:00:00+00:00,44.03235715
2020-06-18 00:00:00+00:00,43.56013067
2020-06-19 00:00:00+00:00,42.67983406
2020-06-20 00:00:00+00:00,43.3468149
2020-06-21 00:00:00+00:00,43.08744304
2020-06-22 00:00:00+00:00,44.188004
2020-06-23 00:00:00+00:00,44.17927958
2020-06-24 00:00:00+00:00,42.84382675
2020-06-25 00:00:00+00:00,42.5643029462
2020-06-26 00:00:00+00:00,43.32078456
2020-06-27 00:00:00+00:00,41.55555971
2020-06-28 00:00:00+00:00,41.40826848
2020-06-29 00:00:00+00:00,41.85103372
2020-06-30 00:00:00+00:00,41.46779203
2020-07-01 00:00:00+00:00,41.69924516
2020-07-02 00:00:00+00:00,41.4718551843
2020-07-03 00:00:00+00:00,41.1807535777
2020-07-04 00:00:00+00:00,42.06653368
2020-07-05 00:00:00+00:00,41.59807417
2020-07-06 00:00:00+00:00,43.96349344
2020-07-07 00:00:00+00:00,43.3182468
2020-07-08 00:00:00+00:00,45.2007465
2020-07-09 00:00:00+00:00,44.5374555
2020-07-10 00:00:00+00:00,44.2461161
2020-07-11 00:00:00+00:00,44.67707832
2020-07-12 00:00:00+00:00,44.6361016
2020-07-13 00:00:00+00:00,43.91979575
2020-07-14 00:00:00+00:00,43.80286462
2020-07-15 00:00:00+00:00,43.2789555
2020-07-16 00:00:00+00:00,42.03543724
2020-07-17 00:00:00+00:00,41.91281565
2020-07-18 00:00:00+00:00,42.42586604
2020-07-19 00:00:00+00:00,42.55272856
2020-07-20 00:00:00+00:00,41.97580954
2020-07-21 00:00:00+00:00,43.61614844
2020-07-22 00:00:00+00:00,44.93611621
2020-07-23 00:00:00+00:00,44.85007694
2020-07-24 00:00:00+00:00,44.18254056
2020-07-25 00:00:00+00:00,48.80476604
2020-07-26 00:00:00+00:00,47.97871897
2020-07-27 00:00:00+00:00,52.95002692
2020-07-28 00:00:00+00:00,55.57520501
2020-07-29 00:00:00+00:00,55.17200391
2020-07-30 00:00:00+00:00,56.64311208
2020-07-31 00:00:00+00:00,57.99813709
2020-08-01 00:00:00+00:00,61.29322579
2020-08-02 00:00:00+00:00,56.64144374
2020-08-03 00:00:00+00:00,58.46890283
2020-08-04 00:00:00+00:00,57.533054
2020-08-05 00:00:00+00:00,59.01070626
2020-08-06 00:00:00+00:00,59.1483009616
2020-08-07 00:00:00+00:00,57.24553207
2020-08-08 00:00:00+00:00,58.12920588
2020-08-09 00:00:00+00:00,57.13903008
2020-08-10 00:00:00+00:00,58.28884584
2020-08-11 00:00:00+00:00,54.38684316
2020-08-12 00:00:00+00:00,54.96858456
2020-08-13 00:00:00+00:00,57.74131641
2020-08-14 00:00:00+00:00,56.75312254
2020-08-15 00:00:00+00:00,59.92780968
2020-08-16 00:00:00+00:00,63.82654319
