datetime,litecoin_daily_trading_volume_usd
2020-04-02 00:00:00+00:00,3985953572.0
2020-04-03 00:00:00+00:00,3482692346.0
2020-04-04 00:00:00+00:00,3229457622.0
2020-04-05 00:00:00+00:00,3084146015.0
2020-04-06 00:00:00+00:00,4287968687.0
2020-04-07 00:00:00+00:00,4391267713.0
2020-04-08 00:00:00+00:00,3831132142.0
2020-04-09 00:00:00+00:00,3631187987.0
2020-04-10 00:00:00+00:00,4008964133.0
2020-04-11 00:00:00+00:00,3374908252.0
2020-04-12 00:00:00+00:00,3639638078.0
2020-04-13 00:00:00+00:00,3998289644.0
2020-04-14 00:00:00+00:00,3716121881.0
2020-04-15 00:00:00+00:00,3696959521.0
2020-04-16 00:00:00+00:00,4984182877.0
2020-04-17 00:00:00+00:00,4096625538.0
2020-04-18 00:00:00+00:00,4508378329.0
2020-04-19 00:00:00+00:00,4563334114.0
2020-04-20 00:00:00+00:00,4293209435.0
2020-04-21 00:00:00+00:00,3954491838.0
2020-04-22 00:00:00+00:00,4029531589.0
2020-04-23 00:00:00+00:00,4757478698.0
2020-04-24 00:00:00+00:00,4788265185.0
2020-04-25 00:00:00+00:00,4769855704.0
2020-04-26 00:00:00+00:00,4687873111.0
2020-04-27 00:00:00+00:00,4473729902.0
2020-04-28 00:00:00+00:00,4413476561.0
2020-04-29 00:00:00+00:00,5673988960.0
2020-04-30 00:00:00+00:00,5724477325.0
2020-05-01 00:00:00+00:00,4581731065.0
2020-05-02 00:00:00+00:00,4453777871.0
2020-05-03 00:00:00+00:00,4667453994.0
2020-05-04 00:00:00+00:00,4488284400.0
2020-05-05 00:00:00+00:00,4187625277.0
2020-05-06 00:00:00+00:00,4575858023.0
2020-05-07 00:00:00+00:00,5080727910.0
2020-05-08 00:00:00+00:00,4780707207.0
2020-05-09 00:00:00+00:00,4741516484.0
2020-05-10 00:00:00+00:00,5783062532.0
2020-05-11 00:00:00+00:00,5121746343.0
2020-05-12 00:00:00+00:00,4734936547.0
2020-05-13 00:00:00+00:00,4565388581.0
2020-05-14 00:00:00+00:00,5023559798.0
2020-05-15 00:00:00+00:00,4340414828.0
2020-05-16 00:00:00+00:00,3879155974.0
2020-05-17 00:00:00+00:00,3901110454.0
2020-05-18 00:00:00+00:00,4473025831.0
2020-05-19 00:00:00+00:00,3612370257.0
2020-05-20 00:00:00+00:00,3448255432.0
2020-05-21 00:00:00+00:00,3143718509.0
2020-05-22 00:00:00+00:00,2908274408.0
2020-05-23 00:00:00+00:00,2576920703.0
2020-05-24 00:00:00+00:00,2656112321.0
2020-05-25 00:00:00+00:00,2701310002.0
2020-05-26 00:00:00+00:00,2475471673.0
2020-05-27 00:00:00+00:00,2757608482.0
2020-05-28 00:00:00+00:00,2743046058.0
2020-05-29 00:00:00+00:00,2632197768.0
2020-05-30 00:00:00+00:00,2852777896.0
2020-05-31 00:00:00+00:00,2637731569.0
2020-06-01 00:00:00+00:00,3035652544.0
2020-06-02 00:00:00+00:00,3060955005.0
2020-06-03 00:00:00+00:00,2691495449.0
2020-06-04 00:00:00+00:00,2697436350.0
2020-06-05 00:00:00+00:00,2551367878.0
2020-06-06 00:00:00+00:00,2160092222.0
2020-06-07 00:00:00+00:00,2385218875.0
2020-06-08 00:00:00+00:00,2359581648.0
2020-06-09 00:00:00+00:00,2141209283.0
2020-06-10 00:00:00+00:00,2146762421.0
2020-06-11 00:00:00+00:00,2554629198.0
2020-06-12 00:00:00+00:00,2260548556.0
2020-06-13 00:00:00+00:00,1739835590.0
2020-06-14 00:00:00+00:00,1782403292.0
2020-06-15 00:00:00+00:00,2090717318.0
2020-06-16 00:00:00+00:00,1841455099.0
2020-06-17 00:00:00+00:00,1996899442.0
2020-06-18 00:00:00+00:00,1576467272.0
2020-06-19 00:00:00+00:00,1712639222.0
2020-06-20 00:00:00+00:00,1500492583.0
2020-06-21 00:00:00+00:00,1362753187.0
2020-06-22 00:00:00+00:00,1659721584.0
2020-06-23 00:00:00+00:00,1365925951.0
2020-06-24 00:00:00+00:00,1493695398.0
2020-06-25 00:00:00+00:00,1310383546.0
2020-06-26 00:00:00+00:00,1714646169.0
2020-06-27 00:00:00+00:00,1453347400.0
2020-06-28 00:00:00+00:00,1337385786.0
2020-06-29 00:00:00+00:00,1668680719.0
